Driver,Points_count,Total_races,Points_percentage
VER,23,24,95.83333333333334
PER,16,24,66.66666666666666
SAI,20,23,86.95652173913044
LEC,21,24,87.5
RUS,21,24,87.5
NOR,23,24,95.83333333333334
HAM,21,24,87.5
PIA,23,24,95.83333333333334
ALO,14,24,58.333333333333336
STR,6,24,25.0
ZHO,1,24,4.166666666666666
MAG,5,22,22.727272727272727
RIC,3,18,16.666666666666664
TSU,9,24,37.5
ALB,4,24,16.666666666666664
HUL,10,24,41.66666666666667
OCO,5,23,21.73913043478261
GAS,9,24,37.5
BOT,0,24,0.0
SAR,0,14,0.0
BEA,2,3,66.66666666666666
COL,2,9,22.22222222222222
LAW,2,6,33.33333333333333
DOO,0,1,0.0
