Driver,GapSector1,GapSector2,GapSector3
PIA,0.1999999999999993,0.0,0.06400000000000006
NOR,0.24099999999999966,0.062000000000001165,0.0
SAI,0.384999999999998,0.21799999999999997,0.13799999999999812
LEC,0.31700000000000017,0.013999999999999346,0.0799999999999983
RUS,0.2240000000000002,0.17999999999999972,0.28800000000000026
VER,0.0,0.0010000000000012221,0.2270000000000003
ALB,0.5619999999999976,0.5680000000000014,0.5779999999999994
OCO,0.6799999999999997,0.28999999999999915,0.44399999999999906
STR,0.5440000000000005,0.2789999999999999,0.6769999999999996
HUL,0.4869999999999983,0.16600000000000037,0.402000000000001
RIC,0.4759999999999991,0.29299999999999926,0.2480000000000011
PER,0.5090000000000003,0.31899999999999906,0.3719999999999999
TSU,0.254999999999999,0.14199999999999946,0.3260000000000005
BOT,0.8170000000000002,0.5500000000000007,0.597999999999999
SAR,0.7219999999999978,0.7390000000000008,0.7779999999999987
MAG,0.7689999999999984,0.7300000000000004,0.7379999999999995
HAM,0.46199999999999974,0.22500000000000142,0.31099999999999994
ALO,0.7829999999999977,0.6419999999999995,1.0
GAS,0.6139999999999972,0.28999999999999915,0.4980000000000011
ZHO,0.7940000000000005,0.7280000000000015,0.8200000000000003
